address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
601 Carlton Trail,North Battleford,Walmart,,,,,,306-445-8105,SK,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,S9A 4A9,-108.273,52.7626,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
4210 - 70th Avenue,Lloydminster,Walmart,,,,,,780-875-4777,AB,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,T9V 2X3,-110.048,53.276,,,,,,,,,,2013-09-16 18:04:18 +0530,2013-09-16 18:04:18 +0530
"1855,3e Avenue Ouest",Val-d'Or,Walmart,,,,,,819-874-8411,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,J9P 7A9,-77.8367,48.0977,,,,,,,,,,2013-09-16 18:04:16 +0530,2013-09-16 18:04:16 +0530
16 Murphy Square,Corner Brook,Walmart,,,,,,709-634-2310,NL,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,A2H 1R4,-57.9167,48.9595,,,,,,,,,,2013-09-16 18:04:19 +0530,2013-09-16 18:04:19 +0530
5302 Discovery Way,Leduc,Walmart,,,,,,780-986-7574,AB,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,T9E 8J7,-113.568,53.2674,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
890 Rita Road,Quesnel,Walmart,,,,,,250-747-4464,BC,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,V2J 7J3,-122.441,52.965,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
4750 kingsway,Burnaby,Burnaby,,,,,,(604) 668-8330,BC,,,,,,,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,11:00 ,07:00 ,V5H 4J2,-122.918,49.2513,true,,,,,,,,,2013-09-06 10:55:54 +0530,2013-09-06 10:55:54 +0530
9151 Bridgeport Road,Richmond,Costco,,,,,,(604) 270-3647,BC,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V6X 3L9,-123.122,49.1926,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
2355 160 St.,Surrey,Walmart,,,,,,604-541-9015,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V3S 9N6,-122.779,49.0443,,,,,,,,,,2013-09-16 18:04:22 +0530,2013-09-16 18:04:22 +0530
2853 32nd Street NE,Calgary,Costco,,,,,,(403) 299-1610,AB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,3:00pm ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T1Y 6T7,-113.99,51.0787,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
1315 St. James Street,Winnipeg,Costco,,,,,,(204) 788-4415,MB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,R3H 0K9,-97.1992,49.9041,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
1555 Banks Road,Kelowna,Walmart,,,,,,250-860-8811,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V1X 7Y8,-119.427,49.8875,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
5000 Highway 7 Unit Y006A Markville Shopping Centre,Markham,Walmart,,,,,,905-477-6060,ON,,,,,,,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,L3R 4M9,-79.2903,43.8716,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
115 Marquis Drive,Saskatoon,Costco,,,,,,(306) 933-4262,SK,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,S7R 1C7,-106.675,52.1946,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
1499 Regent Avenue West,Winnipeg,Costco,,,,,,(204) 654-4214,MB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,R2C 4M4,-97.0568,49.8965,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
12450 149th St NW,Edmonton,Costco,,,,,,(780) 455-7575,AB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T5V 1G9,-113.578,53.5789,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
6631 island hwy n,Nanaimo,Nanaimo,,,,,,(250) 390-1993,BC,,,,,,,10:00 ,06:00,10:00 ,06:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,07:00,11:00 ,06:00 ,V9T 4T7,-124.045,49.2367,true,,,,,,,,,2013-09-06 10:55:54 +0530,2013-09-06 10:55:54 +0530
13650 50th Street,Edmonton,Costco,,,,,,(780) 478-0066,AB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T5A 4Y3,-113.415,53.5958,,,,,,,,,,2013-09-16 11:20:36 +0530,2013-09-16 11:20:36 +0530
6565 Southridge Avenue,Prince George,Walmart,,,,,,250-906-3203,BC,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,V2N 6Z4,-122.784,53.864,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
270 Kingston Road East R.R. #1,Ajax,Walmart,,,,,,905-426-6160,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L1S 4S7,-79.02,43.8632,,,,,,,,,,2013-09-16 18:04:09 +0530,2013-09-16 18:04:09 +0530
3195 - 26th Ave North,Lethbridge,Walmart,,,,,,403-380-6722,AB,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,T1H 5P4,-112.794,49.7272,,,,,,,,,,2013-09-16 18:04:06 +0530,2013-09-16 18:04:06 +0530
100-500 notredame drive,Kamloops,Kamloops,,,,,,(250) 851-8250,BC,,,,,,,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,09:30 ,07:00,10:00 ,05:00 ,V2C 6T6,-120.385,50.6541,true,,,,,,,,,2013-09-06 10:55:54 +0530,2013-09-06 10:55:54 +0530
9455 Mississauga Rd,Brampton,Walmart,,,,,,905-451-6307,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L6X 0B3,-79.8148,43.6561,,,,,,,,,,2013-09-16 18:04:06 +0530,2013-09-16 18:04:06 +0530
1812 vedder way,Abbotsford,Abbotsford,,,,,,604-854-3575,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V2S 8K1,-122.268,49.0221,true,,,,,,,,,2013-09-06 10:54:59 +0530,2013-09-06 10:54:59 +0530
4900 molly banister dr.,Red deer,Red deer,,,,,,(403) 341-8760,AB,,,,,,,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,09:30 ,09:00,11:00 ,05:00 ,T4R 1N9,-113.552,52.2028,true,,,,,,,,,2013-09-06 10:55:54 +0530,2013-09-06 10:55:54 +0530
99 Heritage Gate SE,South Calgary,Costco,,,,,,(403) 313-7650,AB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T2H 3A7,-114.046,50.989,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
450 Bayfield Street,Barrie,Walmart,,,,,,705-728-2833,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L4M 5A2,-79.7085,44.4104,,,,,,,,,,2013-09-16 18:04:18 +0530,2013-09-16 18:04:18 +0530
4515 Dundas St. West,Burlington,Walmart,,,,,,905-331-0027,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L7R 3X4,-79.8115,43.4033,,,,,,,,,,2013-09-16 18:04:18 +0530,2013-09-16 18:04:18 +0530
11050 103rd Ave.,Grande Prairie,Walmart,,,,,,780-513-3740,AB,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,T8V 7H1,-118.828,55.1714,,,,,,,,,,2013-09-16 18:04:17 +0530,2013-09-16 18:04:17 +0530
2150 Hawkins Street,Port Coquitlam,Walmart,,,,,,604-472-1225,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V3B 0G6,-122.736,49.2532,,,,,,,,,,2013-09-16 18:04:07 +0530,2013-09-16 18:04:07 +0530
860 Langford Parkway,Langford,Walmart,,,,,,250-391-0224,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V9B 2P3,-123.506,48.4426,,,,,,,,,,2013-09-16 18:04:19 +0530,2013-09-16 18:04:19 +0530
1349 Lasalle Blvd. New Sudbury Centre,Sudbury,Walmart,,,,,,705-566-3700,ON,,,,,,,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,6:00pm,P3A 1Z2,-80.9489,46.522,,,,,,,,,,2013-09-16 18:04:14 +0530,2013-09-16 18:04:14 +0530
2616 91st Street NW,Edmonton,Costco,,,,,,(780) 577-1200,AB,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T6N 1N2,-113.469,53.4552,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
20202 66th Avenue,Langley,Walmart,,,,,,604-539-5210,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V2Y 1P3,-122.663,49.1226,,,,,,,,,,2013-09-16 18:04:18 +0530,2013-09-16 18:04:18 +0530
5025 boul Cousineau,Saint-Hubert,Costco,,,,,,(450) 443-3615,QC,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J3Y 3K7,-73.4312,45.5053,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
"1700,boul. Lebourgneuf",Qu,Walmart,,,,,,418-623-7339,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,G2K 2M4,-71.304,46.8321,,,,,,,,,,2013-09-16 18:04:13 +0530,2013-09-16 18:04:13 +0530
"2075,boul. Chomedey,suite 100",Laval,Walmart,,,,,,450-681-1126,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,H7T 0G5,-73.743,45.5601,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
7373 rue Bombardier,Anjou,Costco,,,,,,(514) 493-4814,QC,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H1J 2V2,-73.585,45.609,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
4313 Wellington Road South,London,Costco,,,,,,(519) 680-1027,ON,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,N6E 2Z8,-81.2113,42.919,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
18182 Yonge Street,East Gwillimbury,Costco,,,,,,(905) 954-4733,ON,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L9N 0J3,-79.4888,44.0709,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
1900 Cyrville Road,Gloucester,Costco,,,,,,(613) 748-9966,ON,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,K1B 1A5,-75.6024,45.415,,,,,,,,,,2013-09-16 11:20:37 +0530,2013-09-16 11:20:37 +0530
2960 Kingsway Drive Fairview Park Mall,Kitchener,Walmart,,,,,,519-894-6600,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,N2C 1X1,-80.4414,43.4242,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
"3050,boulevard portland",Sherbrooke,Sherbrooke,,,,,,(819) 820-8697,QC,,,,,,,09:30 ,05:30,09:30 ,05:30,09:30 ,05:30,09:30 ,09:00,09:30 ,09:00,09:00 ,05:00,10:00 ,05:00 ,J1L 1K1,-71.9491,45.3943,true,,,,,,,,,2013-09-06 10:55:54 +0530,2013-09-06 10:55:54 +0530
"6140,boul. Henri-Bourassa Est",Montr,Walmart,,,,,,514-324-7853,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,H1G 5X3,-73.6148,45.6084,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
"4520,boul. Royal,suite 820",Trois-Rivi,Walmart,,,,,,819-372-1181,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,G9A 4N2,-72.5636,46.3244,,,,,,,,,,2013-09-16 18:04:15 +0530,2013-09-16 18:04:15 +0530
6990 Mumford Rd.,Halifax,Walmart,,,,,,902-454-7990,NS,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,10:00am,8:00pm,B3L 4W4,-63.6191,44.6473,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
665 University Park Drive,Regina,Costco,,,,,,(306) 789-8838,SK,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,S4V 2V8,-104.548,50.4452,,,,,,,,,,2013-09-16 11:20:38 +0530,2013-09-16 11:20:38 +0530
"9000,boul. Leduc",Brossard,Walmart,,,,,,450-672-5000,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,J4Y 0E6,-73.4408,45.4471,,,,,,,,,,2013-09-16 18:04:10 +0530,2013-09-16 18:04:10 +0530
525 Welland Ave. Lincoln Mall,St. Catharines,Walmart,,,,,,905-685-4100,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L2M 5V2,-79.2117,43.176,,,,,,,,,,2013-09-16 18:04:14 +0530,2013-09-16 18:04:14 +0530
165 North Queen Street,Etobicoke,Walmart,,,,,,416-239-7090,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,M9C 1A7,-79.5575,43.6184,,,,,,,,,,2013-09-16 18:04:11 +0530,2013-09-16 18:04:11 +0530
870 mont,Terrebonne,Costco,,,,,,(450) 657-4353,QC,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J6V 1N9,-73.5062,45.7211,,,,,,,,,,2013-09-16 11:20:38 +0530,2013-09-16 11:20:38 +0530
2160 Burnhamthorpe Rd. West,Mississauga,Walmart,,,,,,905-608-0922,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L5L 5Z5,-79.6848,43.5452,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
1015 rue du March,Montr,Costco,,,,,,(514) 381-1251,QC,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H4N 3J8,-73.6608,45.5358,,,,,,,,,,2013-09-16 11:20:38 +0530,2013-09-16 11:20:38 +0530
5701 Trans-Canada Nord,Pointe-Claire,Costco,,,,,,(514) 426-5052,QC,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H9R 1B7,-73.819,45.47,,,,,,,,,,2013-09-16 11:20:38 +0530,2013-09-16 11:20:38 +0530
"1030,boul. du Grand-H",Saint-J,Walmart,,,,,,450-438-6776,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,J7Y 5K8,-74.017,45.7607,,,,,,,,,,2013-09-16 18:04:19 +0530,2013-09-16 18:04:19 +0530
1280 Fanshawe Park Rd. West,London,Walmart,,,,,,519-472-7100,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,N6G 5B1,-81.3324,43.0121,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
100 Billy Bishop Way,Toronto,Costco,,,,,,(416) 635-8175,ON,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,M3K 2C8,-79.4549,43.7307,,,,,,,,,,2013-09-16 11:20:38 +0530,2013-09-16 11:20:38 +0530
"1451,boul. Talbot Place du Royaume",Chicoutimi,Walmart,,,,,,418-693-1500,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,G7H 4C1,-71.0588,48.404,,,,,,,,,,2013-09-16 18:04:10 +0530,2013-09-16 18:04:10 +0530
300 Borough Drive,Scarborough,Walmart,,,,,,416-290-1916,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,M1P 4P5,-79.2539,43.7754,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
477 paul street,Moncton,Moncton,,,,,,(506) 859-8697,NB,,,,,,,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,10:00 ,09:00,12:00 ,05:00 ,E1A 4X5,-64.8306,46.1182,true,,,,,,,,,2013-09-06 10:55:54 +0530,2013-09-06 10:55:54 +0530
90 aberdeen avenue,St. john's,St. John's,,,,,,709-738-4350,NL,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,A1A 5N6,-52.7179,47.6153,true,,,,,,,,,2013-09-06 10:55:07 +0530,2013-09-06 10:55:07 +0530
1849 Merivale Road,Nepean,Costco,,,,,,(613) 727-4786,ON,,,,,,,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,K2G 1E3,-75.7235,45.338,,,,,,,,,,2013-09-16 11:20:38 +0530,2013-09-16 11:20:38 +0530
"640,boul. Maloney Ouest",Gatineau,Walmart,,,,,,819-246-8808,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,J8P 7M4,-75.676,45.4824,,,,,,,,,,2013-09-16 18:04:15 +0530,2013-09-16 18:04:15 +0530
