address,city,company_name,phone,state,zip_code,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,longitude,latitude,created_at,updated_at
813 11 Ave  Sw,Calgary,Safeway,(403) 264-1375,AB,T2R 0E6,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.079,51.0428,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
524 Elbow Dr Sw,Calgary,Safeway,(403) 228-6141,AB,T2S 2H6,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.072,51.0297,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
2425 34 Ave Sw,Calgary,Safeway,(403) 240-1098,AB,T2T 6E3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.115,51.0231,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
3553 Garrison Gate Sw,Calgary,Safeway,(403) 240-9304,AB,T2T 6E4,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-114.114,51.0224,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
1600 90 Ave Sw,Calgary,Safeway,(403) 255-2755,AB,T2V 5A8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.096,50.9723,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
2525 Woodview Dr Sw,Calgary,Safeway,(403) 238-1400,AB,T2W 4N7,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.119,50.9411,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
70 Shawville Blvd Sw,Calgary,Safeway,(403) 256-1401,AB,T2Y 2Z3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.067,50.9068,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
4915 130 Ave. S.East,Calgary,Safeway,(403) 257-8510,AB,T2Z 3V8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.964,50.9318,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
4915 - 130 Ave Se,Calgary,Safeway,(403) 257-8541,AB,T2Z 3V8,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-113.964,50.9318,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
3625 Shaganappi Trail Nw,Calgary,Safeway,(403) 286-5510,AB,T3A 0E2,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.153,51.0856,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
100-5005 Dalhousie Dr Nw,Calgary,Safeway,(403) 202-0425,AB,T3A 5R8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.143,51.1027,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
5048 16 Ave Nw,Calgary,Safeway,(403) 288-3219,AB,T3B 0N3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.166,51.0736,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
1200 37 St Sw,Calgary,Safeway,(403) 246-0003,AB,T3C 1S1,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.141,51.0415,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
3737-37 St Sw,Calgary,Safeway,(403) 698-8222,AB,T3E 6L6,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.141,51.0214,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
65 Crowfoot Crescent Nw,Calgary,Safeway,(403) 241-3814,AB,T3G 2L5,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-114.199,51.1261,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
99 Crowfoot Crescent Nw,Calgary,Safeway,(403) 239-9000,AB,T3G 2L5,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.198,51.1266,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
375 Aspen Glen Landing Sw,Calgary,Safeway,(403) 217-5521,AB,T3H 0N6,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.201,51.0388,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
200 Stewart Green Sw,Calgary,Safeway,(403) 246-4484,AB,T3H 3C8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.169,51.0156,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
76 Saddletowne Cir. Ne,Calgary,Safeway,(403) 280-3497,AB,T3J 0H5,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-113.955,51.1301,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
33 Castleridge Boulevard NE,Calgary,Safeway,(403) 293-0255,AB,T3J 3J8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.951,51.1087,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
850 Saddletowne Cir. Ne,Calgary,Safeway,(403) 293-0915,AB,T3J 5M1,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.944,51.1248,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
8120 Beddington Blvd Nw,Calgary,Safeway,(403) 295-6895,AB,T3K 2A8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.073,51.1253,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
6800 48Th Ave,Camrose,Safeway,(780) 672-1211,AB,T4V 4T1,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,10:00am,6:00pm,-112.859,53.018,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
1200 Railway Ave,Canmore,Safeway,(403) 609-4655,AB,T1W 1P4,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-115.358,51.0924,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
1200 Railway Ave,Canmore,Safeway,(403) 609-2955,AB,T1W 1R4,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-115.358,51.0924,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
100 - 135 Chestermere Station Way,Chestermere,Safeway,(403) 410-9700,AB,T1X 1V2,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.824,51.0507,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
304 5 Ave W,Cochrane,Safeway,(403) 851-1290,AB,T0L 0W4,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,-114.478,51.1848,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
304B - 5 Ave W,Cochrane,Safeway,(403) 932-8941,AB,T4C 2A5,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,-114.478,51.1848,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
500 Manning Crossing,Edmonton,Safeway,(780) 475-2896,AB,T5A 5A1,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.422,53.6015,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
8118 118 Ave,Edmonton,Safeway,(780) 477-6459,AB,T5B 0V9,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.466,53.5704,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
9499 137Th Ave #200,Edmonton,Safeway,(780) 406-6455,AB,T5E 5R8,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.488,53.5995,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
11410 104 Ave,Edmonton,Safeway,(780) 424-1087,AB,T5K 2F5,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.518,53.5463,2013-09-23 05:16:25 UTC,2013-09-23 05:16:25 UTC
12950 137 Ave Nw,Edmonton,Safeway,(780) 377-2402,AB,T5L 5G1,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.556,53.5886,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
Groat Rd Nw & 111 Ave Nw,Edmonton,Safeway,(780) 451-1860,AB,T5M 3L8,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.552,53.559,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
15007 Stony Plain Rd,Edmonton,Safeway,(780) 483-3255,AB,T5P 4W1,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.581,53.5413,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
2534 Guardian Rd Nw,Edmonton,Safeway,(780) 490-0418,AB,T5P 6X9,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.677,53.5107,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
8720 156 St,Edmonton,Safeway,(780) 486-0584,AB,T5R 5W9,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.59,53.5197,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
600-6655 178 St,Edmonton,Safeway,(780) 487-1050,AB,T5T 4J5,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.63,53.5149,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
9710 170 St,Edmonton,Safeway,(780) 486-4242,AB,T5T 4T7,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.615,53.5341,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
3210 118 Ave,Edmonton,Safeway,(780) 477-6923,AB,T5W 0Z8,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,-113.391,53.5704,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
5004 98 Ave. N.West,Edmonton,Safeway,(780) 466-9001,AB,T6A 0A1,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.42,53.5379,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
185-8330 82 Ave,Edmonton,Safeway,(780) 469-9464,AB,T6C 4E3,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.444,53.518,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
10930 82 Ave,Edmonton,Safeway,(780) 433-6930,AB,T6G 0S8,8:00am,11:59pm,8:00am,11:59pm,8:00am,11:59pm,8:00am,11:59pm,8:00am,11:59pm,8:00am,11:59pm,8:00am,11:59pm,-113.513,53.5182,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
111 St Nw & 51 Ave Nw,Edmonton,Safeway,(780) 435-5132,AB,T6H 4M8,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.49,53.5462,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
2310 109 St,Edmonton,Safeway,(780) 430-4278,AB,T6J 3S8,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.509,53.454,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
100 Millbourne Shopping Centre Nw,Edmonton,Safeway,(780) 462-4424,AB,T6K 3L6,9:00am,10:00pm,9:00am,10:00pm,9:00am,10:00pm,9:00am,10:00pm,9:00am,10:00pm,9:00am,6:00pm,10:00am,6:00pm,-113.505,53.5567,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
2331 66 St,Edmonton,Safeway,(780) 450-8180,AB,T6K 4B4,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.434,53.4544,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
576 Riverbend Square Nw,Edmonton,Safeway,(780) 434-6124,AB,T6R 2E3,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.587,53.4687,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
12956 - 137 Ave NW,Edmonton,Safeway,(780) 475-5905,AB,T6V 1P1,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,8:00pm,-113.543,53.6021,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
5110 Windermere Blvd Nw,Edmonton,Safeway,(780) 436-1854,AB,T6W 0L9,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.615,53.4502,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
9601 Franklin Ave,Fort Mcmurray,Safeway,(780) 790-1988,AB,T9H 2J8,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,-111.37,56.723,2013-09-23 05:16:26 UTC,2013-09-23 05:16:26 UTC
121 Signal Road,Fort Mcmurray,Safeway,(780) 791-3909,AB,T9H 4N6,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,-111.426,56.7317,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
9450-86 Ave,Fort Saskatchewan,Safeway,(780) 998-4065,AB,T8L 4P4,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,-113.237,53.6907,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
9925 114 Ave,Grande Prairie,Safeway,(780) 532-7517,AB,T8V 2N7,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-118.792,55.1836,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
8060 100 St,Grande Prairie,Safeway,(780) 833-8620,AB,T8V 6H7,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-118.795,55.154,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
500-900 Carmichael Lane,Hinton,Safeway,(780) 865-5982,AB,T7V 1V6,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,-117.602,53.3959,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
6112 50 St,Leduc,Safeway,(780) 986-0407,AB,T9E 6N7,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,-113.549,53.2763,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
6106 - 50 St,Leduc,Safeway,(780) 986-0050,AB,T9E 6P2,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,-113.549,53.276,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
1702 23 St N,Lethbridge,Safeway,(403) 320-2231,AB,T1H 5B3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-112.81,49.7202,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
2750 Fairway Plaza Rd,Lethbridge,Safeway,(403) 328-8444,AB,T1J 3Y7,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-112.795,49.668,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
1-550 University Dr,Lethbridge,Safeway,(403) 329-6382,AB,T1J 4T3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-112.894,49.7002,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
2605 Fair Plaza Rd S,Lethbridge,Safeway,(403) 380-2614,AB,T1K 6Z2,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-112.794,49.6672,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
5211 44Th St,Lloydminster,Safeway,(780) 875-3448,AB,T9V 0A7,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,8:00am,9:00pm,10:00am,6:00pm,-110.011,53.278,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
615 Division Ave Se,Medicine Hat,Safeway,(403) 504-2920,AB,T1A 2J9,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-110.687,50.049,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
97 - 8 St Nw,Medicine Hat,Safeway,(403) 527-1494,AB,T1A 6N9,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-110.69,50.0498,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
3292 Dunmore Rd Se,Medicine Hat,Safeway,(403) 527-7537,AB,T1B 2R4,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-110.646,50.007,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
610 Big Rock Lane,Okotoks,Safeway,(403) 938-9341,AB,T0L 1T0,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,-113.98,50.7169,2013-09-23 05:16:27 UTC,2013-09-23 05:16:27 UTC
