address,city,company_name,phone,state,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,created_at,updated_at
1675 Versatile Drive,Kamloops,Costco,(250) 374-5336,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V1S 1W7,-120.389,50.6556,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
100 Biscayne Crescent,Brampton,Costco,(905) 450-9300,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L6W 4S1,-79.712,43.6825,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
1127 Sumas Way,Abbotsford,Costco,(604) 850-3458,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V2S 8H2,-122.266,49.0228,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
162 Leva Ave,Red Deer,Costco,(403) 347-1424,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T4E 0A5,-113.819,52.2127,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
99 Heritage Gate SE,South Calgary,Costco,(403) 313-7650,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T2H 3A7,-114.046,50.989,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
41 Mapleview Drive East,Barrie,Costco,(705) 728-2350,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L4N 9A9,-79.6821,44.3358,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
1225 Brant Street,Burlington,Costco,(905) 336-6714,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L7P 1X7,-79.8227,43.3439,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
9901 116th St,Grande Prairie,Costco,(780) 538-2788,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T8V 5W3,-118.845,55.1693,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
2370 Ottawa St.,Port Coquitlam,Costco,(604) 552-2228,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V3B 7Z1,-122.745,49.2565,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
799 McCallum Road,Langford,Costco,(250) 391-1151,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V9B 6A2,-123.502,48.4579,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
1465 Kingsway,Sudbury,Costco,(705) 524-8255,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,P3A 6B3,-80.9458,46.5042,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
2616 91st Street NW,Edmonton,Costco,(780) 577-1200,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T6N 1N2,-113.469,53.4552,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
20499 64th Ave,Langley,Costco,(604) 539-8900,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V2Y 1N5,-122.655,49.1196,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
5025 boul Cousineau,Saint-Hubert,Costco,(450) 443-3615,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J3Y 3K7,-73.4312,45.5053,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
440 rue Bouvier,Qu,Costco,(418) 627-5100,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,G2J 1E3,-71.2685,46.8395,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
2999 autoroute Laval (440 Ouest),Laval,Costco,(450) 686-7420,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H7P 5P4,-73.757,45.5733,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
7373 rue Bombardier,Anjou,Costco,(514) 493-4814,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H1J 2V2,-73.585,45.609,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
4313 Wellington Road South,London,Costco,(519) 680-1027,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,N6E 2Z8,-81.2113,42.919,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
18182 Yonge Street,East Gwillimbury,Costco,(905) 954-4733,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L9N 0J3,-79.4888,44.0709,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
1900 Cyrville Road,Gloucester,Costco,(613) 748-9966,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,K1B 1A5,-75.6024,45.415,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
4438 King Street East,Kitchener,Costco,(519) 650-3330,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,N2P 2G4,-80.3925,43.4069,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
3400 rue King Ouest,Sherbrooke,Costco,(819) 822-2121,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J1L 1C9,-71.9522,45.3929,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
300 rue Bridge,Montr,Costco,(514) 938-5170,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H3K 2C3,-73.5527,45.4862,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
3233 rue Watt,Sainte-Foy,Costco,(418) 656-0666,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,G1X 4W2,-71.3279,46.7808,,2013-09-16 05:50:37 UTC,2013-09-16 05:50:37 UTC
3000 boul des R,Trois-Rivi,Costco,(819) 693-5758,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,G9A 6J2,-72.571,46.3314,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
230 Chain Lake Drive,Halifax,Costco,(902) 876-7788,NS,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,B3S 1C5,-63.676,44.6561,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
665 University Park Drive,Regina,Costco,(306) 789-8838,SK,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,S4V 2V8,-104.548,50.4452,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
9430 boul Taschereau,Brossard,Costco,(450) 444-4466,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J4X 2W2,-73.479,45.4341,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
3 North Service Road,St. Catharines,Costco,(905) 646-2008,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L2N 7R1,-79.2478,43.1779,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
50 Queen Elizabeth Blvd,Etobicoke,Costco,(416) 251-2832,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,M8Z 1M1,-79.5073,43.6232,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
870 mont,Terrebonne,Costco,(450) 657-4353,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J6V 1N9,-73.5062,45.7211,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
5900 Rodeo Drive,Mississauga,Costco,(905) 568-4828,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L5R 3S9,-79.6913,43.612,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
1015 rue du March,Montr,Costco,(514) 381-1251,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H4N 3J8,-73.6608,45.5358,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
5701 Trans-Canada Nord,Pointe-Claire,Costco,(514) 426-5052,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,H9R 1B7,-73.819,45.47,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
1001 boul Jean-Baptiste-Rolland,Saint-J,Costco,(450) 476-9000,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J7Z 5T6,-74.019,45.7648,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
693 Wonderland Road North,London,Costco,(519) 474-5301,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,N6H 4L1,-81.2933,42.9873,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
100 Billy Bishop Way,Toronto,Costco,(416) 635-8175,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,M3K 2C8,-79.4549,43.7307,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
2500 boul Talbot RR4,Chicoutimi,Costco,(418) 696-1112,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,G7H 5B1,-71.0845,48.383,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
1411 Warden Avenue,Scarborough,Costco,(416) 288-0033,ON,10:00am ,8:30 pm,10:00am ,8:30 pm,10:00am ,8:30 pm,10:00am ,8:30 pm,10:00am ,8:30 pm,9:30am ,6:00pm,10:00am ,5:00pm,M1R 2S3,-79.2967,43.759,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
25 Trinity Drive,Moncton,Costco,(506) 855-7382,NB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,E1G 2J7,-64.829,46.1176,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
28 Stavanger Drive,St. John's,Costco,(709) 738-8610,NL,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,A1A 5E8,-52.7182,47.6158,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
1849 Merivale Road,Nepean,Costco,(613) 727-4786,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,K2G 1E3,-75.7235,45.338,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
1100 boul Maloney ouest,Gatineau,Costco,(819) 246-4005,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J8T 6G3,-75.701,45.4753,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
2201 Broadmoor Blvd,Sherwood,Costco,(780) 410-2520,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T8H 0A1,-113.318,53.547,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
65 Kirkham Dr,Markham,Costco,(905) 201-3500,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L3S 0A9,-79.2522,43.8514,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
3600 Ave Des Grandes Tourelles,Boisbriand,Costco,(450) 420-4500,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J7H 0A1,-73.85,45.6315,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
71 Colossus Drive,Woodbridge,Costco,(905) 264-8337,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L4L 9J8,-79.542,43.7863,,2013-09-16 05:50:38 UTC,2013-09-16 05:50:38 UTC
4500 Still Creek Dr,Burnaby,Costco,(604) 296-5100,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V5C 0E5,-123.0,49.2609,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
2365 McGillivray Blvd,Winnipeg,Costco,(204) 487-5100,MB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,R3Y 0A1,-97.206,49.8198,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
137 Countryview Drive,Dartmouth,Costco,(902) 481-7635,NS,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,B3B 0E7,-63.567,44.7066,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
605 Expo Blvd,Vancouver,Costco,(604) 622-5050,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V6B 1V4,-123.11,49.2785,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
60 rue Strasbourg,Candiac,Costco,(450) 444-3453,QC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:00am ,6:00pm,10:00am ,5:00pm,J5R 0B4,-73.5168,45.371,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
485 The Parkway,Peterborough,Costco,(705) 750-2600,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,K9J 0B3,-78.3433,44.2716,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
35 John Birchall Rd,Richmond Hill,Costco,(905) 780-2100,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L4S 0B2,-79.3923,43.9015,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
2350 Box Springs Blvd,Medicine Hat,Costco,(403) 581-5700,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,T1C 0C8,-110.741,50.0698,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
West Thurrock Way,"West Thurrock,Essex",Costco,011-441-708-860557,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,RM20-3WY,0.28068,51.4826,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
Hartspring Lane,"Watford,Herts",Costco,(923) 022-5449,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,WD25-8JS,-0.36234,51.666,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
30 Waterloo Rd,Liverpool,Costco,(151) 227-3945,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,L3-7HY,-2.999,53.4142,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
Barton Dock Road,Manchester,Costco,(161) 747-9295,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,M41 7PP,-2.34909,53.4699,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
Leathley Road,"Hunslet,Leeds",Costco,(013) 242-4073,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,LS10 1PX,-1.53545,53.788,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
Andover Road,Haydock Merseyside,Costco,(942) 086-8601,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,WA11 9FA,-2.66154,53.4759,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
Mandela Way,Gateshead,Costco,(191) 461-9806,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,NE11 9DH,-1.66489,54.9599,,2013-09-16 05:50:39 UTC,2013-09-16 05:50:39 UTC
Wyvern Way,Derby,Costco,(332) 68-0805,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,DE21 6NZ,-1.44076,52.9179,,2013-09-16 05:50:40 UTC,2013-09-16 05:50:40 UTC
The Broadway Chadderton,Oldham,Costco,(161) 684-2005,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,OL9 8AU,-2.15903,53.528,,2013-09-16 05:50:40 UTC,2013-09-16 05:50:40 UTC
1 Shadbolt Avenue,Chingford,Costco,(208) 501-9305,England,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,11:00am ,5:00pm,E4 8GP,-0.0339,51.6087,,2013-09-16 05:50:40 UTC,2013-09-16 05:50:40 UTC
