id,address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude
23,"360 university ave","Fredericton","Word Co Inc","Lane Mac Intosh","5 to 9",,"M","Services","5064554332","NB","$500,000 to $1 million","Services, Not Elsewhere Classified","8999","Services, nec","Owner",,,,,,,,,,,,,,,,"E3B4J2","-66.637045","45.951996"
24,"919 prospect st","Fredericton","Argyll Associates Ltd","Dale Mac Donald","1 to 4","5064591184","M","Services","5064593940","NB","$500,000 to $1 million","Engineering, Accounting, Research, Management & R","8711","Engineering services","Partner",,,,,,,,,,,,,,,,"E3B2T7","-66.670254","45.942852"
25,"2037 st peter ave","Bathurst","Anxiety & Panic Disorders","Michael Lavigne","3",,,"Retail Trade","5065478159","NB","500000","Miscellaneous Retail","5999","Miscellaneous retail stores, nec","Manager",,,,,,,,,,,,,,,,"E2A7J5","-65.678109","47.651033"
26,"60 charlotte st","Saint john","Glamour Zone","Helen Buck","3",,,"Retail Trade","5068476524","NB","500000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E2L2H9","-66.058638","45.272780"
27,"68 william bell dr","Hampton","Hampton Golf Club Ltd.","Vicky Magee",,"5068329880",,"Retail Trade","5068325045","NB",,"Miscellaneous Retail","5941","Sporting goods and bicycle shops","Manager",,,,,,,,,,,,,,,,"E5N6B3","-65.836923","45.509339"
28,"56 richard dr","Miramichi","Miramichi Cd Duplication","Norma Duncan","3",,,"Retail Trade","5066251558","NB","500000","Home Furniture, Furnishings and Equipment Stores","5734","Computer and software stores","Owner",,,,,,,,,,,,,,,,"E1N6N2","-65.433333","47.045028"
29,"121 church st","Edmundston","Bizou International Inc",,"1 to 4",,,"Retail Trade","5067395609","NB","$500,000 to $1 million","Miscellaneous Retail","5944","Jewelry stores",,,,,,,,,,,,,,,,,,\N,\N
30,"247 hampton rd","Quispamsis","Bow Tangles","Lisa Mullan","1 to 4",,"F","Services","5068494247","NB","Less than $500,000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E2E4M5","-65.964528","45.408695"
31,"229 boul j d gauthier","Shippagan","Gatanne Robichaud","Gatanne Robichaud","15","5063362726",,"Retail Trade","5063362723","NB","3500000","General Merchandise Stores","5311","Department stores","Manager",,,,,,,,,,,,,,,,"E8S1N2","-64.715602","47.744151"
32,"131 connaught ave","Moncton","Beausejour","Alain Bezeau","35","5068563249",,"Services","5068562733","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E1C3P4","-64.803580","46.102924"
33,"101-55 magazine st","Saint john","Killam Furnished Suites",,"7",,,"Services","5066509558","NB","1500000","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels",,,,,,,,,,,,,,,,,"E2K2S5","-66.069874","45.279083"
34,"370 prospect st e","Fredericton","Wacky Wheatley's Tv & Stereo","Ken Nason","1 to 4",,"M","Retail Trade","5064500945","NB","$500,000 to $1 million","Miscellaneous Retail","5999","Miscellaneous retail stores, nec","Manager",,,,,,,,,,,,,,,,"E3B3C2","-66.674808","45.942438"
35,"815 loch lomond rd","Saint john","Little Angels Daycare Inc","Maureen Dignard","10 to 19","5066725158","F","Services","5066965155","NB","Less than $500,000","Social Services","8351","Child day care services","Owner",,,,,,,,,,,,,,,,"E2J1Y9","-66.008679","45.279332"
36,"75 urquhart ave","Moncton","Trans East Trailers Ltd","David Alcorn","1 to 4",,"M","Services","5068542225","NB","$500,000 to $1 million","Automotive Repair, Services and Parking","7519","Utility trailer rental","Owner",,,,,,,,,,,,,,,,"E1H2R4","-64.745090","46.131230"
37,"711 ch saint-andre","Saint-andre-leblanc","Marcel Belanger Electric","Marcel Belanger",,"5065776770",,"Construction","5065330037","NB",,"Construction - Special Trade Contractors","1731","Electrical work","Owner",,,,,,,,,,,,,,,,"E4P6C8","-64.267230","46.189965"
38,"417 connell st #5","Woodstock","Orlando, Kent Dds","Kent Orlando","1 to 4",,"M","Services","5063288405","NB","$500,000 to $1 million","Health Services","8021","Offices and clinics of dentists",,,,,,,,,,,,,,,,,"E7M5G5","-67.598600","46.168282"
39,"67 ragged point rd","Saint john","Centre Scolaire Samuel De Chap","Georges Grondin","20 to 49","5066436205","M","Services","5066584613","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E2K5C3","-66.113274","45.293119"
40,"251 av universite","Moncton","Photographie Maillet Photo","Bob Maillet","1 to 4","5068588989","M","Services","5068588989","NB","Less than $500,000","Personal Services","7221","Photographic studios, portrait","Owner",,,,,,,,,,,,,,,,"E1C5K4","-64.785343","46.096136"
41,"832 route 8","Taymouth","George's Canteen","George Youssef","1 to 4",,"M","Retail Trade","5063671999","NB","$500,000 to $1 million","Food Stores","5411","Grocery stores","Owner",,,,,,,,,,,,,,,,"E6C2B4","-66.614160","46.182378"
42,"300 lewisville rd","Moncton","Tobique Valley Outfitters Ltd.","Alvin Noel","35",,,"Services","5064576957","NB","3500000","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Manager",,,,,,,,,,,,,,,,"E1A5Y4","-64.765075","46.101900"
43,"21 pacey dr","Fredericton","Sub Towne","Philip Battah","2","5064504462",,"Retail Trade","5064527111","NB","389000","Miscellaneous Retail","5941","Sporting goods and bicycle shops","Owner",,,,,,,,,,,,,,,,"E3B5A3","-66.646872","45.952380"
44,"309 river valley dr","Grand bay-westfield","Grand Bay Irving Convenience","Alvin Legere","10 to 19","5067382942","M","Retail Trade","5067383112","NB","$2.5 to 5 million","Food Stores","5411","Grocery stores","Manager",,,,,,,,,,,,,,,,"E5K1A8","-66.195376","45.305920"
45,"22 grindstone dr","Riverview","Freight Audit Svc","Dale Ronalds","1 to 4",,"M","Services","5063874755","NB","$500,000 to $1 million","Engineering, Accounting, Research, Management & R","8748","Business consulting, nec","Owner",,,,,,,,,,,,,,,,"E1B3N9","-64.788151","46.057741"
46,"1-160 irving blvd","Bouctouche","Lisa Allain","Lisa Allain",,"5067436774",,"Services","5067438434","NB",,"Health Services","8051","Skilled nursing care facilities","Owner",,,,,,,,,,,,,,,,"E4S3L5","-64.730251","46.466397"
47,"5138 st joseph","Ste-marie-de-kent","J J Allain Electric",,"5 to 9",,,"Construction","5067438128","NB","$500,000 to $1 million","Construction - Special Trade Contractors","1731","Electrical work",,,,,,,,,,,,,,,,,"E4S5G3","-64.837465","46.398353"
48,"2441 king george hwy","Miramichi","Shoppers Drug Mart","David Skidd","20 to 49","5067733317","M","Retail Trade","5067739415","NB","$5 to 10 million","Miscellaneous Retail","5912","Drug stores and proprietary stores","Owner",,,,,,,,,,,,,,,,"E1V6W2","-65.489692","47.030817"
49,"112 main st","Bathurst","Salvation Army Thrift Store",,"1 to 4",,,"Retail Trade","5065457773","NB","Less than $500,000","Miscellaneous Retail","5932","Used merchandise stores",,,,,,,,,,,,,,,,,"E2A1A4","-65.650405","47.619682"
50,"30 rue riviera","Dsl de drummond","Soteria Ministries","Gary Theriault","3",,,"Services","5064758827","NB",,"Membership Organizations","8661","Religious organizations","Manager",,,,,,,,,,,,,,,,"E3Y2L3","-67.716218","47.065469"
51,"1201 mountain rd","Moncton","New Method Steel Warehouse",,"5 to 9",,,"Wholesale Trade","5068598882","NB","$10 to 20 million","Wholesale Trade - Durable Goods","5051","Metals service centers and offices",,,,,,,,,,,,,,,,,"E1C2T4","-64.825959","46.107855"
52,"96 monte carlo cres","Moncton","Dorothy White Photography",,"1 to 4","5068590491",,"Services","5063831343","NB","Less than $500,000","Personal Services","7221","Photographic studios, portrait",,,,,,,,,,,,,,,,,"E1G1M7","-64.848614","46.125052"
53,"55 corbett ave","Fredericton","Kids Korral Day Care","Joyce Hughes","10 to 19","5064519684","F","Services","5064721268","NB","$500,000 to $1 million","Social Services","8351","Child day care services","Executive Director",,,,,,,,,,,,,,,,"E3A3X3","-66.621094","45.952512"
54,"2436 king george hwy","Miramichi","Auto Accents & Signs","Ron Stewart",,,,"Manufacturing","5067788708","NB",,"Miscellaneous Manufacturing Industries","3993","Signs and advertising specialties","Owner",,,,,,,,,,,,,,,,"E1V6V9","-65.493399","47.029643"
55,"25 lorne st","Sackville","Home Building Ctr","Larry Payzant","5 to 9","5065363667","M","Retail Trade","5065362330","NB","$2.5 to 5 million","Building Matrials, Hrdwr, Garden Supply & Mobile","5211","Lumber and other building materials","Owner",,,,,,,,,,,,,,,,"E4L3Z8","-64.366870","45.893397"
56,"26 kiwanis crt","Saint john","Key Industries","Christine Evans","50 to 99","5066321073","F","Wholesale Trade","5066346888","NB","$50 to 100 million","Wholesale Trade - Nondurable Goods","5199","Nondurable goods, nec","President",,,,,,,,,,,,,,,,"E2K4L2","-66.072487","45.286363"
57,"2983 fredericton rd","Salisbury","Dairy Queen Salisbury-Cake","John Daigle","20 to 49","5063725841","M","Retail Trade","5063725060","NB","$1 to 2.5 million","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E4J2E6","-65.051960","46.043100"
58,"8 church ave","Saint john","3 B Dataservices Ltd","Bruce Bosence","1 to 4","5066351955","M","Services","5066358195","NB","$500,000 to $1 million","Business Services","7379","Computer related services, nec","President",,,,,,,,,,,,,,,,"E2M4P4","-66.100461","45.256967"
59,"1935 st peter ave","Bathurst","St-Pierre, Denis","Denis St-Pierre","3","5065480904",,"Services","5065481984","NB","750000","Engineering, Accounting, Research, Management & R","8721","Accounting, auditing, and bookkeeping",,,,,,,,,,,,,,,,,"E2A7J5","-65.678109","47.651033"
60,"154 main st","Fredericton","Bypro Dental Inc","Wesley Bazowsky","1 to 4",,"M","Wholesale Trade","5064508101","NB","$500,000 to $1 million","Wholesale Trade - Durable Goods","5047","Medical and hospital equipment","Owner",,,,,,,,,,,,,,,,"E3A1C8","-66.654579","45.978759"
61,"175 palmer brook rd","Quispamsis","Mike's Transport Ltd.","Mike Wyman",,"5068489059",,"Transportation, Communications, Electric, Gas, An","5068489052","NB",,"Motor Freight Transportation","4213","Trucking, except local","President",,,,,,,,,,,,,,,,"E2G2A9","-65.919643","45.432337"
62,"1100 main st","Moncton","Shoppers Drug Mart","Gary Thorne","20 to 49","5063834022","M","Retail Trade","5068578702","NB","$5 to 10 million","Miscellaneous Retail","5912","Drug stores and proprietary stores","Owner",,,,,,,,,,,,,,,,"E1C1H4","-64.786321","46.085869"
63,"8905 route 113","Petit-shippagan","Basque Heli-Prop Enr","David Basque","3","5063447351",,"Retail Trade","5063447262","NB","1500000","Automotive Dealers and Gasoline Service Stations","5551","Boat dealers","Owner",,,,,,,,,,,,,,,,"E8T3R1","-64.570230","47.872827"
64,"2441 king george hwy","Miramichi","Cotton Ginny","Lynn Hebb","5 to 9",,"F","Retail Trade","5067734687","NB","$1 to 2.5 million","Apparel and Accessory Stores","5621","Women's clothing stores","Manager",,,,,,,,,,,,,,,,"E1V6W2","-65.489692","47.030817"
65,"477 paul st","Dieppe","Info Place Tickets","Rose Trites","1 to 4",,"F","Services","5068579156","NB","Less than $500,000","Amusement and Recreation Services","7999","Amusement and recreation, nec","Manager",,,,,,,,,,,,,,,,"E1A4X5","-64.760701","46.098852"
66,"307 macpherson st","Fredericton","Concept Clothing Inc.","Marsha Simmons","3",,,"Retail Trade","5064726213","NB","750000","Apparel and Accessory Stores","5699","Miscellaneous apparel and accessory stores","President",,,,,,,,,,,,,,,,"E3A5H4","-66.606089","45.972205"
67,"3906 boul des fondateurs","Saint-isidore","Centre D'acces Club Info. Route","Bridgette Lainey",,,,"Services","5063586003","NB",,"Membership Organizations","8611","Business associations","Manager",,,,,,,,,,,,,,,,"E8M1C2","-65.104314","47.807573"
68,"1015 regent st","Fredericton","Purdy, John W Md","John Purdy","1 to 4",,"M","Services","5064580266","NB","$1 to 2.5 million","Health Services","8011","Offices and clinics of medical doctors",,,,,,,,,,,,,,,,,"E3B6H5","-66.657128","45.941497"
69,"405 canada st","Fredericton","Timberwolf Construction",,"3",,,"Construction","5064585101","NB","1500000","Building Cnstrctn - General Contractors & Operativ","1521","Single-family housing construction",,,,,,,,,,,,,,,,,"E3A4A5","-66.588075","45.988750"
70,"50 rue industrielle","Saint-jacques","Mecanic Plus","Michel Cyr","1 to 4","5067355040","M","Retail Trade","5067355045","NB","$1 to 2.5 million","Automotive Dealers and Gasoline Service Stations","5599","Automotive dealers, nec","Owner",,,,,,,,,,,,,,,,"E7B1S9","-68.314403","47.597509"
71,"160 willie ave","Saint john","Time Capsule Photographic","Walt Malone","1 to 4","5066421000","M","Services","5066421000","NB","Less than $500,000","Business Services","7335","Commercial photography","Owner",,,,,,,,,,,,,,,,"E2J3N4","-65.981553","45.318367"
72,"344 rue canada","Saint-quentin","Price Chopper","Roland Doiron","10 to 19","5062353170","M","Retail Trade","5062353106","NB","$2.5 to 5 million","Food Stores","5411","Grocery stores","Manager",,,,,,,,,,,,,,,,"E8A1H7","-67.392024","47.520768"
73,"625 main st","Sussex","Arts Barber & Hair Styling Shp","Art Marr","1 to 4",,"M","Services","5064335327","NB","Less than $500,000","Personal Services","7241","Barber shops","Owner",,,,,,,,,,,,,,,,"E4E7H5","-65.507762","45.723008"
74,"40 cooks lake rd","Saint john","O'neill & Assoc","Carole O'neill","1 to 4",,"F","Services","5066729736","NB","Less than $500,000","Engineering, Accounting, Research, Management & R","8721","Accounting, auditing, and bookkeeping","Owner",,,,,,,,,,,,,,,,"E2N2E1","-65.919145","45.329728"
75,"400 route 430 #14","Big river","Wal-Mart","Blair Lesvbre","50 to 99","5065460505","M","Retail Trade","5065460500","NB","$20 to 50 million","General Merchandise Stores","5311","Department stores","Manager",,,,,,,,,,,,,,,,"E2A6N6","-65.677780","47.559631"
76,"139 rue saint-thomas","Memramcook","Banque Nationale Du Canada","Murielle Cocormier","5 to 9","5067582702","F","Finance, Insurance, And Real Estate","5067582558","NB",,"Depository Institutions","6021","National commercial banks","Manager",,,,,,,,,,,,,,,,"E4K2N8","-64.562711","45.976790"
77,"235 mapleton rd","Moncton","Home Depot","Mark Stubbs","175","5068538279",,"Retail Trade","5068538150","NB","75000000","Building Matrials, Hrdwr, Garden Supply & Mobile","5211","Lumber and other building materials","Manager",,,,,,,,,,,,,,,,"E1C0G9","-64.825687","46.114175"
78,"2050 westfield rd","Saint john","St John Marina Ltd","Lola Brown","10 to 19","5067382007","F","Transportation, Communications, Electric, Gas, An","5067388484","NB","$2.5 to 5 million","Water Transportation","4493","Marinas","Manager",,,,,,,,,,,,,,,,"E2M6H2","-66.154154","45.278524"
79,"860 mountain rd","Moncton","Donald, G L Md","G Donald","1 to 4",,"M","Services","5068535140","NB","$1 to 2.5 million","Health Services","8011","Offices and clinics of medical doctors",,,,,,,,,,,,,,,,,"E1C2N7","-64.810425","46.100638"
80,"405 st. george st","Moncton","Cedar's 2 For 1","Sam Hade","5 to 9","5068551961","M","Retail Trade","5063888888","NB","Less than $500,000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E1C1X5","-64.790816","46.089515"
81,"1381 regent st","Fredericton","Mmmarvellous Mmmuffins","Michael Black","5 to 9","5064740027","M","Wholesale Trade","5064592988","NB","$5 to 10 million","Wholesale Trade - Nondurable Goods","5149","Groceries and related products, nec","Owner",,,,,,,,,,,,,,,,"E3C1A2","-66.662732","45.933284"
82,"30 florient prom","Petit-rocher","Remi Roy Construction","Remi Roy","1 to 4",,"M","Construction","5067833934","NB","$1 to 2.5 million","Building Cnstrctn - General Contractors & Operativ","1542","Nonresidential construction, nec","Owner",,,,,,,,,,,,,,,,"E8J1S3","-65.719402","47.782919"
83,"109 45e av","Edmundston","Salon Rosaire","Rosaire Gagnon","1 to 4",,"M","Services","5067397551","NB","Less than $500,000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E3V3A9","-68.325744","47.376710"
84,"2661 river rd","Salisbury","Wright's Country Bakery","Chris Wright","1 to 4",,"M","Retail Trade","5063729320","NB","Less than $500,000","Food Stores","5461","Retail bakeries","Owner",,,,,,,,,,,,,,,,"E4J2R1","-65.038294","46.025133"
85,"26 ridgewell pl","Fredericton","Atlantic Energy Solutions",,"1 to 4",,,"Services","5064543674","NB","$500,000 to $1 million","Engineering, Accounting, Research, Management & R","8742","Management consulting services",,,,,,,,,,,,,,,,,"E3B9R4","-66.672495","45.960433"
86,"106 fairfield rd","Sackville","Ener Green Builders Coop","Eric Tusz-King","3",,,"Construction","5063645950","NB","500000","Building Cnstrctn - General Contractors & Operativ","1521","Single-family housing construction","Manager",,,,,,,,,,,,,,,,"E4L2X9","-64.405176","45.893569"
87,"450 edinburgh dr","Moncton","J Mc Nulty Weekley Inc","Jeff Mc Nulty","10 to 19","5063832965","M","Wholesale Trade","5063834191","NB","$5 to 10 million","Wholesale Trade - Nondurable Goods","5192","Books, periodicals, and newspapers","Owner",,,,,,,,,,,,,,,,"E1E2L1","-64.837608","46.082219"
88,"8 rue centennial #102","Richibucto","Premiere Video","Robert Macdonald","1 to 4",,"M","Services","5065231884","NB","Less than $500,000","Motion Pictures","7841","Video tape rental","Manager",,,,,,,,,,,,,,,,"E4W3X2","-64.869637","46.665307"
89,"Place caraquet","Caraquet","Epilation",,"1 to 4",,,"Services","5067274437","NB","Less than $500,000","Personal Services","7231","Beauty shops",,,,,,,,,,,,,,,,,,\N,\N
90,"1082 route 275","Saint-arthur","North American Forest Products","Pierre Parent","100 to 249","5067597990","M","Wholesale Trade","5067537758","NB","$100 to 500 million","Wholesale Trade - Durable Goods","5031","Lumber, plywood, and millwork","President",,,,,,,,,,,,,,,,"E3N5R3","-66.763689","47.887875"
91,"1935 st peter ave","Bathurst","Moms","Joan Murphy","7","5065456408",,"Retail Trade","5065463995","NB","970000","Eating and Drinking Places","5813","Drinking places","Owner",,,,,,,,,,,,,,,,"E2A7J5","-65.678109","47.651033"
92,"1501 rue principale","Saint-basile","Sirois Gaetan Bois Franc",,"1 to 4",,,"Construction","5067396339","NB","$500,000 to $1 million","Construction - Special Trade Contractors","1752","Floor laying and floor work, nec",,,,,,,,,,,,,,,,,"E7C1M7","-68.286926","47.364449"
93,"221 hampton rd","Quispamsis","This Week In The Kennebecasis","Jeff Craft","5 to 9","5068481949","M","Manufacturing","5068481940","NB","$1 to 2.5 million","Printing, Publishing and Allied Industries","2711","Newspapers","Manager",,,,,,,,,,,,,,,,"E2E4L8","-65.967558","45.406653"
94,"165 main st","Moncton","Winning Enterprises","Lynn Reid","3",,,"Services","5063893033","NB","500000","Amusement and Recreation Services","7999","Amusement and recreation, nec","Owner",,,,,,,,,,,,,,,,"E1C1B8","-64.765231","46.092636"
95,"Irishtown rd rr 4","Moncton","A & P Septic Tank Svc","Paul Cormier","1 to 4",,"M","Construction","5068599910","NB","Less than $500,000","Construction - Special Trade Contractors","1711","Plumbing, heating, air-conditioning","Owner",,,,,,,,,,,,,,,,,\N,\N
96,"1300 st peter ave #4","Bathurst","Rentown",,"5 to 9",,,"Services","5065484587","NB","$1 to 2.5 million","Business Services","7359","Equipment rental and leasing, nec",,,,,,,,,,,,,,,,,"E2A3A6","-65.670943","47.640725"
97,,"Hartland","Hartland Fire Dept",,,,,"Public Administration",,"NB",,"Justice, Public Order, and Safety","9224","Fire protection",,,,,,,,,,,,,,,,,,\N,\N
98,"550 main st","Hartland","Loonieland",,,,,"Retail Trade","5063754501","NB",,"General Merchandise Stores","5311","Department stores",,,,,,,,,,,,,,,,,"E7P2N5","-67.530336","46.304975"
99,"550 queen st","Fredericton","Sue Lawrence Hair & Spa","Sue Lawrence","20 to 49","5064521586","F","Services","5064572922","NB","$1 to 2.5 million","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E3B1B9","-66.639585","45.961468"
100,"7 marville st","Miramichi","Walsh Truck & Trailer Repairs","Roy Walsh","10 to 19","5067733272","M","Services","5067733003","NB","$2.5 to 5 million","Automotive Repair, Services and Parking","7538","General automotive repair shops","Owner",,,,,,,,,,,,,,,,"E1N3A6","-65.434973","47.002047"
101,"229 metcalf st","Saint john","Scottish Enterprises Ltd","Max Elliot","10 to 19","5066369823","M","Finance, Insurance, And Real Estate","5066341613","NB","$1 to 2.5 million","Real Estate","6531","Real estate agents and managers","Manager","","9:00am","5:00pm","9:00am","5:00pm","9:00am","5:00pm","9:00am","5:00pm","9:00am","5:00pm","","","","","E2K1K7","-66.080195","45.276163"
102,"985 st. peter ave","Bathurst","Kimbo Restaurant","Rui Zhu Situ","5 to 9",,"F","Retail Trade","5065462112","NB","Less than $500,000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E2A2Z3","-65.667327","47.635141"
103,"25 sylvio st","Dieppe","R & R Drilling Supply Ltd","Peter Starzomski","5 to 9",,"M","Wholesale Trade","5068598680","NB","$2.5 to 5 million","Wholesale Trade - Durable Goods","5084","Industrial machinery and equipment","Owner",,,,,,,,,,,,,,,,"E1A7X1","-64.701145","46.109087"
104,"Rr 3","Chatham","Bremner Farms",,,,,"Wholesale Trade",,"NB",,"Wholesale Trade - Durable Goods","5083","Farm and garden machinery",,,,,,,,,,,,,,,,,"E1N1H0","-65.465306","47.034298"
105,"156 carlisle rd","Douglas","Inner Peace Massage Reiki","Philip Beck",,"5064559640",,"Services","5064559642","NB",,"Personal Services","7299","Miscellaneous personal service","Owner",,,,,,,,,,,,,,,,"E3A7N4","-66.754209","45.986114"
