address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
3068 Mayfield Rd. Unit 6,Brampton,Mayfield Dental,,,,,,905-840-0225,ON,,,,,,,9:00am,7:00pm,10:00am,8:00pm,9:00am,6:00pm,9:00am,3:00pm,9:00am,5:00pm,9:00am,3:00pm,,,,-79.8233,43.7353,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:49 UTC
5 McMurchy Av N,Brampton,McMurchy Cleaners,,,,,,905-456-2042,ON,,,,,,,8:00am,7:00pm,8:00am,7:00pm,8:00am,7:00pm,8:00am,7:00pm,8:00am,7:00pm,8:00am,6:00pm,,,,-79.7654,43.681,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
9960 McVean Drive Unit 4,Brampton,McVean Dental Care,,,,,,905-794-8883,ON,,,,,,,10:00am,8:00pm,,,10:00am,8:00pm,10:00am,8:00pm,9:00am,3:30pm,9:00am,3:30pm,,,,-79.7002,43.7817,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
"Serving Brampton, Mississauga, Burlington, Oakville, Halton Hills Caledon, Orangeville & the GTA Brampton, Ontario",Brampton,Michele Taras Photography,,,,,,905-495-2821,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:25:31 UTC
27 Kings Cross,Brampton,Mini-Skool A Child's Place,,,,,,905-792-2230,ON,,,,,,,6:45am,6:15pm,6:45am,6:15pm,6:45am,6:15pm,6:45am,6:15pm,6:45am,6:15pm,,,,,,-79.7129,43.7189,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:39:41 UTC
499 Main St. S,Brampton,Mirani Jewellery Inc,,,,,,905-454-3134,ON,,,,,,,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,9:30am,6:00pm,11:00am,5:00pm,,-79.7351,43.6672,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
71 West Drive,Brampton,Musician's Choice,,,,,,905-455-2087,ON,,,,,,,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,5:00pm,12:00pm,4:00pm,,-79.7255,43.7042,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
75 Napa Valley Ave. Unit 5,Woodbridge,Napa Valley Dental Centre,,,,,,905-893-4500,ON,,,,,,,10:00am,5:30pm,7:30am,6:00pm,9:00am,8:00pm,12:00pm,8:00pm,8:00am,3:00pm,8:00am,2:00pm,,,,-79.6174,43.8147,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
2100 Steeles E,Brampton,New Bhandal Transport Inc,,,,,,905-874-8850,ON,,,,,,,8:00am,5:00pm,8:00am,5:00pm,8:00am,5:00pm,8:00am,5:00pm,8:00am,5:00pm,,,,,,-79.6827,43.712,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
1 Conestoga Dr. Suite 300,Brampton,"Ouellette, Deborah Dr.",,,,,,905-840-1511,ON,,,,,,,11:00am,8:00pm,11:00am,8:00pm,9:00am,5:00pm,9:00am,5:00pm,,,8:00am,3:00pm,,,,-79.7962,43.7302,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
69 Third St.,Orangeville,Peekaboo Child Care Centre,,,,,,519-941-7335,ON,,,,,,,6:30am,6:00pm,6:30am,6:00pm,6:30am,6:00pm,6:30am,6:00pm,6:30am,6:00pm,,,,,,-80.0945,43.9266,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
"9886 Torbram Rd, Suite 210",Brampton,Peel Music Academy,,,,,,905-458-4246,ON,,,,,,,3:00pm,9:00pm,3:00pm,9:00pm,3:00pm,9:00pm,3:00pm,9:00pm,3:00pm,9:00pm,9:00am,5:00pm,,,,-79.727,43.7493,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
2200 Queen Street E.,Brampton,Photoland Studio,,,,,,905-791-5539,ON,,,,,,,9:00am,7:00pm,9:00am,7:00pm,9:00am,7:00pm,9:00am,7:00pm,9:00am,7:00pm,,,,,,-79.7072,43.7338,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
85 Kennedy Road South,Brampton,Pizza Pros,,,,,,905-459-8998,ON,,,,,,,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,2:00am,10:00am,2:00am,10:00am,12:00am,,-79.74,43.6885,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
121 Brunel Road,Mississauga,Plasp Child Care Services,,,,,,905-890-1711,ON,,,,,,,7:00am,6:15pm,7:00am,6:15pm,7:00am,6:15pm,7:00am,6:15pm,7:00am,6:15pm,,,,,,-79.6742,43.6271,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
"7700 Hurontario St., Suite 404",Brampton,PricewaterhouseCoopers Inc,,,,,,905-855-4934,ON,,,,,,,,,,,,,,,,,,,,,,-79.7273,43.6614,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:25:31 UTC
499 Main St.,Brampton,Pro Image Studio,,,,,,905-451-0142,ON,,,,,,,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,6:00pm,11:00am,5:00pm,,-79.7351,43.6672,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
17 Ray Lawson Blvd. Unit 3,Brampton,Ray Lawson Dentistry,,,,,,905-455-8866,ON,,,,,,,9:00am,5:00pm,9:00am,5:00pm,9:00am,8:30pm,9:00am,5:00pm,9:00am,8:30pm,9:00am,3:00pm,,,,-79.7238,43.6578,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:50 UTC
"511 Ray Lawson Blvd., Unit 7",Brampton,Ray Lawson Family Dental,,,,,,905-450-6040,ON,,,,,,,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,,,,,,-79.7368,43.6506,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:50 UTC
6 George St S,Brampton,"Rock School, The",,,,,,905-487-1425,ON,,,,,,,3:30pm,9:00pm,3:30pm,9:00pm,3:30pm,9:00pm,3:30pm,9:00pm,3:30pm,9:00pm,10:00am,3:30pm,,,,-79.7603,43.6848,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:50 UTC
3 Sunforest Dr.,Brampton,Rowntree Montessori Schools,,,,,,905-790-3838,ON,,,,,,,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,,,,,,-79.7837,43.7089,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:50 UTC
101-180 Queen St. W.,Brampton,Rusinek & Associates Inc.,,,,,,905-453-4451,ON,,,,,,,,,,,,,,,,,,,,,,-79.7648,43.6816,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:25:32 UTC
9025 Airport,Brampton,Salvaggio Dentistry,,,,,,905-791-1800,ON,,,,,,,8:00am,4:00pm,8:00am,8:00pm,8:00am,8:00pm,8:00am,8:00pm,8:00am,2:00pm,9:00am,3:00pm,,,,-79.6972,43.7447,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:50 UTC
"205 Van Kirk Dr., Unit 7 ",Brampton,Sandalwood Dental Clinic,,,,,,905-846-8810,ON,,,,,,,9:00am,6:00pm,9:00am,6:00pm,9:00am,6:00pm,9:00am,6:00pm,,,9:00am,2:00pm,,,,-79.8104,43.7096,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
3200 Ridgeway Dr Unit #7,Brampton,Sean Boutilier Academy of Dance,,,,,,905-608-9120,ON,,,,,,,4:00pm,10:00pm ,4:00pm,10:00pm ,4:00pm,10:00pm ,4:00pm,10:00pm ,4:00pm,10:00pm ,9:00am,5:00pm,Closed,,,-79.7667,43.6833,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
11 Plastics Avenue,Toronto,Sean Boutilier Academy of Dance,,,,,,416-259-3333,ON,,,,,,,4:00pm,10:00pm ,4:00pm,10:00pm ,4:00pm,10:00pm ,4:00pm,10:00pm ,4:00pm,10:00pm ,9:00am,5:00pm,12:00pm,4:00pm,,-79.509,43.6233,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
"145 Queen Street East, Suite 201",Brampton,"Segal, Percy Dr.",,,,,,905-453-8081,ON,,,,,,,8:30am,5:00pm,8:30am,5:00pm,8:30am,5:00pm,8:30am,5:00pm,Closed,,,,,,,-79.754,43.6913,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
12-3078 Mayfield Road ,Brampton,Sharma Sonia Dr,,,,,,905-840-3456,ON,,,,,,,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,8:30am,3:00pm,Closed,,,-79.8241,43.7348,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:39:48 UTC
11-7595 Markham Road ,Markham,Sharma Sonia Dr,,,,,,905-294-0123,ON,,,,,,,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,8:30am,3:00pm,Closed,,,-79.2541,43.8511,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
490 Chrysler Dr. Unit 50,Brampton,Sigma Dental Care,,,,,,905-793-7373,ON,,,,,,,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,9:00am,3:00pm,,,,-79.7149,43.7483,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
7985 Financial Drive Unit 3,Brampton,Spot Free Cleaners,,,,,,905-457-1139,ON,,,,,,,7:30am,7:00pm,7:30am,7:00pm,7:30am,7:00pm,7:30am,7:00pm,7:30am,7:00pm,9:00am,5:00pm,,,,-79.7699,43.6324,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
98 Queen St W,Brampton,Sterling Dentistry,,,,,,905-457-4445,ON,,,,,,,8:00am,8:00pm,9:00am,7:00pm,8:00am,8:00pm,9:00am,7:00pm,8:30am,3:00pm,,,,,,-79.7621,43.6841,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
12 Rutherford Rd S,Brampton,"Studio, The - Dance-Theatre-Performance",,,,,,905-454-5735,ON,,,,,,,5:00pm,8:30pm,5:00pm,8:30pm,5:00pm,8:30pm,5:00pm,8:30pm,,,9:00am,5:00pm,,,,-79.7406,43.7008,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
5-5283 Rutherford Road,Woodbridge,Sunrise Dental,,,,,,905-851-9015,ON,,,,,,,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,9:00am,3:00pm,9:00am,3:00pm,Closed,,,-79.6062,43.8154,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
51 Mountainash Rd Unit 7,Brampton,Synergy Performing Arts Academy,,,,,,905-791-6997,ON,,,,,,,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,10:00am,4:00pm,Closed,,,-79.7308,43.7584,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
375 Howden Blvd. Unit 6 & 7,Brampton,Tan Music Academy & Services,,,,,,905-789-5585,ON,,,,,,,2:00pm,9:30pm,2:00pm,9:30pm,2:00pm,9:30pm,2:00pm,9:30pm,2:00pm,9:30pm,9:00am,4:30pm,,,,-79.7667,43.6833,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
7715 Kennedy Rd. S. ,Brampton,Teachers Who Tutor/Blake Heights Academy and Daycare,,,,,,905-459-5859,ON,,,,,,,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,,,,,,-79.7165,43.6716,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:51 UTC
95 Ural Circle,Brampton,The Guitar Art Studio,,,,,,905-789-9254,ON,,,,,,,,,,,,,,,,,,,,,,-79.7347,43.7554,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:25:32 UTC
1750 Britannia Rd East,Mississauga,The Tire Terminal - Complete Tire & Auto Centre,,,,,,905--565-8406,ON,,,,,,,8:00am,7:00pm,8:00am,7:00pm,8:00am,7:00pm,8:00am,7:00pm,8:00am,7:00pm,8:00am,4:00pm,,,,-79.6418,43.6605,,,,,,,,,,2013-09-13 09:25:32 UTC,2013-09-13 09:27:52 UTC
"25 Peel Centre Drive, inside Bramalea City Center ",Brampton,Timeless Diamond,,,,,,905-791-6490,ON,,,,,,,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,9:30am,6:00pm,11:00am,6:00pm,,-79.7667,43.6833,,,,,,,,,,2013-09-13 09:25:33 UTC,2013-09-13 09:27:52 UTC
1098 Peter Robertson Blvd,Brampton,Video Station,,,,,,905-792-3900,ON,,,,,,,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,11:00am,8:00pm,,-79.7371,43.7581,,,,,,,,,,2013-09-13 09:25:33 UTC,2013-09-13 09:27:52 UTC
630 Peter Robertson Blvd Unit 1C,Brampton,Westend Audio & Video,,,,,,905-793-2022,ON,,,,,,,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,11:00am,8:00pm,11:00am,8:00pm,,-79.76,43.7405,,,,,,,,,,2013-09-13 09:25:33 UTC,2013-09-13 09:27:52 UTC
